Testname: FB_OD600scan_96well
Date: 12/9/2025  Time: 1:38:53 AM
ID1: P0000000024  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.152
A02:    0.157
A03:    0.201
A04:    0.213
A05:    0.363
A06:    0.154
A07:    0.262
A08:    0.157
A09:    0.218
A10:    0.219
A11:    0.232
A12:    0.215
B01:    0.168
B02:    0.238
B03:    0.469
B04:    0.16 
B05:    0.233
B06:    0.25 
B07:    0.198
B08:    0.144
B09:    0.183
B10:    0.213
B11:    0.367
B12:    0.148
C01:    0.159
C02:    0.145
C03:    0.413
C04:    0.183
C05:    0.154
C06:    0.28 
C07:    0.327
C08:    0.473
C09:    0.229
C10:    0.276
C11:    0.223
C12:    0.47 
D01:    0.219
D02:    0.16 
D03:    0.186
D04:    0.163
D05:    0.235
D06:    0.174
D07:    0.189
D08:    0.217
D09:    0.17 
D10:    0.171
D11:    0.272
D12:    0.137
E01:    0.133
E02:    0.288
E03:    0.318
E04:    0.159
E05:    0.5  
E06:    0.238
E07:    0.173
E08:    0.238
E09:    0.222
E10:    0.404
E11:    0.169
E12:    0.285
F01:    0.125
F02:    0.304
F03:    0.258
F04:    0.167
F05:    0.171
F06:    0.276
F07:    0.219
F08:    0.159
F09:    0.325
F10:    0.227
F11:    0.354
F12:    0.234
G01:    0.206
G02:    0.142
G03:    0.275
G04:    0.399
G05:    0.144
G06:    0.157
G07:    0.148
G08:    0.166
G09:    0.147
G10:    0.186
G11:    0.131
G12:    0.137
H01:    0.158
H02:    0.184
H03:    0.179
H04:    0.456
H05:    0.169
H06:    0.145
H07:    0.149
H08:    0.169
H09:    0.159
H10:    0.157
H11:    0.456
H12:    0.124

