Testname: FB_OD600scan_96well
Date: 12/10/2025  Time: 3:04:15 PM
ID1: P0000000017  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.297
A02:    0.358
A03:    0.356
A04:    0.368
A05:    0.276
A06:    0.418
A07:    0.38 
A08:    0.488
A09:    0.26 
A10:    0.279
A11:    0.409
A12:    0.257
B01:    0.378
B02:    0.367
B03:    0.249
B04:    0.287
B05:    0.367
B06:    0.385
B07:    0.235
B08:    0.331
B09:    0.21 
B10:    0.218
B11:    0.427
B12:    0.477
C01:    0.384
C02:    0.38 
C03:    0.296
C04:    0.307
C05:    0.299
C06:    0.175
C07:    0.185
C08:    0.309
C09:    0.152
C10:    0.241
C11:    0.325
C12:    0.345
D01:    0.32 
D02:    0.21 
D03:    0.465
D04:    0.305
D05:    0.155
D06:    0.412
D07:    0.349
D08:    0.415
D09:    0.42 
D10:    0.179
D11:    0.285
D12:    0.272
E01:    0.198
E02:    0.191
E03:    0.465
E04:    0.454
E05:    0.401
E06:    0.398
E07:    0.401
E08:    0.265
E09:    0.271
E10:    0.208
E11:    0.383
E12:    0.146
F01:    0.148
F02:    0.229
F03:    0.28 
F04:    0.339
F05:    0.345
F06:    0.212
F07:    0.283
F08:    0.25 
F09:    0.406
F10:    0.321
F11:    0.347
F12:    0.174
G01:    0.302
G02:    0.143
G03:    0.24 
G04:    0.149
G05:    0.209
G06:    0.148
G07:    0.432
G08:    0.285
G09:    0.397
G10:    0.241
G11:    0.153
G12:    0.159
H01:    0.35 
H02:    0.346
H03:    0.394
H04:    0.148
H05:    0.328
H06:    0.134
H07:    0.302
H08:    0.314
H09:    0.237
H10:    0.351
H11:    0.144
H12:    0.488

