Testname: FB_OD600scan_96well
Date: 12/10/2025  Time: 2:39:32 AM
ID1: P0000000018  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.462
A02:    0.357
A03:    0.382
A04:    0.352
A05:    0.259
A06:    0.407
A07:    0.339
A08:    0.476
A09:    0.223
A10:    0.288
A11:    0.39 
A12:    0.443
B01:    0.375
B02:    0.391
B03:    0.329
B04:    0.322
B05:    0.443
B06:    0.422
B07:    0.264
B08:    0.322
B09:    0.266
B10:    0.263
B11:    0.41 
B12:    0.418
C01:    0.35 
C02:    0.376
C03:    0.288
C04:    0.318
C05:    0.293
C06:    0.173
C07:    0.187
C08:    0.29 
C09:    0.183
C10:    0.147
C11:    0.302
C12:    0.309
D01:    0.279
D02:    0.211
D03:    0.43 
D04:    0.286
D05:    0.165
D06:    0.451
D07:    0.372
D08:    0.435
D09:    0.417
D10:    0.153
D11:    0.198
D12:    0.233
E01:    0.226
E02:    0.234
E03:    0.513
E04:    0.469
E05:    0.413
E06:    0.434
E07:    0.49 
E08:    0.284
E09:    0.267
E10:    0.148
E11:    0.427
E12:    0.142
F01:    0.105
F02:    0.257
F03:    0.195
F04:    0.359
F05:    0.409
F06:    0.218
F07:    0.262
F08:    0.239
F09:    0.416
F10:    0.305
F11:    0.382
F12:    0.127
G01:    0.292
G02:    0.117
G03:    0.089
G04:    0.116
G05:    0.249
G06:    0.146
G07:    0.479
G08:    0.286
G09:    0.465
G10:    0.274
G11:    0.144
G12:    0.142
H01:    0.306
H02:    0.327
H03:    0.446
H04:    0.116
H05:    0.351
H06:    0.147
H07:    0.258
H08:    0.298
H09:    0.162
H10:    0.346
H11:    0.121
H12:    0.383

