Testname: FB_OD600scan_96well
Date: 12/10/2025  Time: 8:16:38 AM
ID1: P0000000003  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.349
A02:    0.378
A03:    0.336
A04:    0.29 
A05:    0.268
A06:    0.401
A07:    0.37 
A08:    0.48 
A09:    0.224
A10:    0.28 
A11:    0.382
A12:    0.208
B01:    0.382
B02:    0.375
B03:    0.363
B04:    0.33 
B05:    0.396
B06:    0.392
B07:    0.264
B08:    0.344
B09:    0.215
B10:    0.207
B11:    0.415
B12:    0.472
C01:    0.354
C02:    0.407
C03:    0.308
C04:    0.284
C05:    0.295
C06:    0.153
C07:    0.174
C08:    0.311
C09:    0.147
C10:    0.237
C11:    0.312
C12:    0.36 
D01:    0.286
D02:    0.201
D03:    0.456
D04:    0.282
D05:    0.151
D06:    0.411
D07:    0.39 
D08:    0.393
D09:    0.412
D10:    0.157
D11:    0.263
D12:    0.264
E01:    0.224
E02:    0.241
E03:    0.481
E04:    0.463
E05:    0.402
E06:    0.404
E07:    0.488
E08:    0.233
E09:    0.272
E10:    0.143
E11:    0.386
E12:    0.145
F01:    0.129
F02:    0.231
F03:    0.292
F04:    0.355
F05:    0.421
F06:    0.209
F07:    0.275
F08:    0.218
F09:    0.404
F10:    0.29 
F11:    0.328
F12:    0.136
G01:    0.313
G02:    0.139
G03:    0.135
G04:    0.137
G05:    0.239
G06:    0.131
G07:    0.413
G08:    0.29 
G09:    0.414
G10:    0.259
G11:    0.139
G12:    0.143
H01:    0.332
H02:    0.332
H03:    0.394
H04:    0.14 
H05:    0.341
H06:    0.144
H07:    0.285
H08:    0.329
H09:    0.17 
H10:    0.368
H11:    0.138
H12:    0.452

