Testname: FB_OD600scan_96well
Date: 12/11/2025  Time: 1:06:26 AM
ID1: P0000000006  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.337
A02:    0.331
A03:    0.354
A04:    0.384
A05:    0.304
A06:    0.416
A07:    0.3  
A08:    0.451
A09:    0.256
A10:    0.285
A11:    0.436
A12:    0.499
B01:    0.334
B02:    0.322
B03:    0.246
B04:    0.31 
B05:    0.345
B06:    0.329
B07:    0.261
B08:    0.326
B09:    0.162
B10:    0.176
B11:    0.389
B12:    0.412
C01:    0.337
C02:    0.364
C03:    0.27 
C04:    0.217
C05:    0.292
C06:    0.163
C07:    0.184
C08:    0.293
C09:    0.151
C10:    0.189
C11:    0.351
C12:    0.376
D01:    0.268
D02:    0.373
D03:    0.401
D04:    0.295
D05:    0.167
D06:    0.336
D07:    0.35 
D08:    0.335
D09:    0.397
D10:    0.193
D11:    0.266
D12:    0.321
E01:    0.212
E02:    0.196
E03:    0.455
E04:    0.39 
E05:    0.412
E06:    0.413
E07:    0.393
E08:    0.213
E09:    0.24 
E10:    0.155
E11:    0.305
E12:    0.156
F01:    0.138
F02:    0.212
F03:    0.27 
F04:    0.303
F05:    0.352
F06:    0.215
F07:    0.234
F08:    0.247
F09:    0.351
F10:    0.237
F11:    0.305
F12:    0.154
G01:    0.349
G02:    0.132
G03:    0.199
G04:    0.141
G05:    0.201
G06:    0.144
G07:    0.367
G08:    0.298
G09:    0.405
G10:    0.251
G11:    0.15 
G12:    0.157
H01:    0.307
H02:    0.326
H03:    0.399
H04:    0.158
H05:    0.308
H06:    0.224
H07:    0.361
H08:    0.338
H09:    0.22 
H10:    0.362
H11:    0.157
H12:    0.45 

