Testname: FB_OD600scan_96well
Date: 12/9/2025  Time: 5:55:24 PM
ID1: P0000000012  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.363
A02:    0.444
A03:    0.468
A04:    0.468
A05:    0.537
A06:    0.622
A07:    0.537
A08:    0.39 
A09:    0.466
A10:    0.304
A11:    0.236
A12:    0.16 
B01:    0.154
B02:    0.501
B03:    0.531
B04:    0.497
B05:    0.535
B06:    0.331
B07:    0.161
B08:    0.487
B09:    0.499
B10:    0.462
B11:    0.482
B12:    0.169
C01:    0.437
C02:    0.166
C03:    0.262
C04:    0.303
C05:    0.149
C06:    0.603
C07:    0.176
C08:    0.302
C09:    0.319
C10:    0.385
C11:    0.188
C12:    0.456
D01:    0.505
D02:    0.158
D03:    0.566
D04:    0.417
D05:    0.447
D06:    0.516
D07:    0.462
D08:    0.155
D09:    0.556
D10:    0.518
D11:    0.238
D12:    0.488
E01:    0.409
E02:    0.51 
E03:    0.445
E04:    0.388
E05:    0.442
E06:    0.508
E07:    0.316
E08:    0.473
E09:    0.459
E10:    0.451
E11:    0.479
E12:    0.554
F01:    0.287
F02:    0.444
F03:    0.414
F04:    0.434
F05:    0.496
F06:    0.42 
F07:    0.309
F08:    0.348
F09:    0.448
F10:    0.387
F11:    0.556
F12:    0.416
G01:    0.479
G02:    0.408
G03:    0.167
G04:    0.531
G05:    0.311
G06:    0.493
G07:    0.643
G08:    0.145
G09:    0.476
G10:    0.581
G11:    0.48 
G12:    0.485
H01:    0.274
H02:    0.33 
H03:    0.25 
H04:    0.38 
H05:    0.21 
H06:    0.276
H07:    0.326
H08:    0.259
H09:    0.47 
H10:    0.286
H11:    0.283
H12:    0.29 

