Testname: FB_OD600scan_96well
Date: 12/9/2025  Time: 7:48:56 PM
ID1: P0000000005  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.381
A02:    0.391
A03:    0.355
A04:    0.308
A05:    0.301
A06:    0.43 
A07:    0.344
A08:    0.47 
A09:    0.224
A10:    0.295
A11:    0.406
A12:    0.433
B01:    0.398
B02:    0.389
B03:    0.218
B04:    0.322
B05:    0.464
B06:    0.479
B07:    0.269
B08:    0.355
B09:    0.208
B10:    0.25 
B11:    0.428
B12:    0.446
C01:    0.343
C02:    0.402
C03:    0.346
C04:    0.185
C05:    0.303
C06:    0.163
C07:    0.184
C08:    0.312
C09:    0.14 
C10:    0.163
C11:    0.386
C12:    0.307
D01:    0.3  
D02:    0.226
D03:    0.455
D04:    0.298
D05:    0.158
D06:    0.505
D07:    0.403
D08:    0.497
D09:    0.438
D10:    0.178
D11:    0.234
D12:    0.26 
E01:    0.251
E02:    0.239
E03:    0.496
E04:    0.416
E05:    0.401
E06:    0.381
E07:    0.463
E08:    0.223
E09:    0.269
E10:    0.152
E11:    0.379
E12:    0.147
F01:    0.136
F02:    0.255
F03:    0.208
F04:    0.344
F05:    0.402
F06:    0.219
F07:    0.314
F08:    0.269
F09:    0.417
F10:    0.301
F11:    0.377
F12:    0.142
G01:    0.302
G02:    0.137
G03:    0.156
G04:    0.141
G05:    0.221
G06:    0.17 
G07:    0.507
G08:    0.298
G09:    0.435
G10:    0.271
G11:    0.147
G12:    0.146
H01:    0.279
H02:    0.309
H03:    0.36 
H04:    0.143
H05:    0.338
H06:    0.142
H07:    0.271
H08:    0.32 
H09:    0.151
H10:    0.384
H11:    0.154
H12:    0.46 

