Testname: FB_OD600scan_96well
Date: 12/9/2025  Time: 12:33:23 PM
ID1: P0000000022  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.113
A02:    0.305
A03:    0.26 
A04:    0.255
A05:    0.429
A06:    0.303
A07:    0.578
A08:    0.201
A09:    0.229
A10:    0.227
A11:    0.614
A12:    0.152
B01:    0.219
B02:    0.874
B03:    0.514
B04:    0.368
B05:    0.588
B06:    0.465
B07:    0.154
B08:    0.276
B09:    0.216
B10:    0.698
B11:    0.881
B12:    0.147
C01:    0.264
C02:    0.569
C03:    0.483
C04:    0.414
C05:    0.152
C06:    0.41 
C07:    0.655
C08:    0.518
C09:    0.366
C10:    1.003
C11:    0.621
C12:    0.516
D01:    0.334
D02:    0.162
D03:    0.691
D04:    0.371
D05:    0.342
D06:    0.257
D07:    0.286
D08:    0.332
D09:    0.33 
D10:    0.266
D11:    0.286
D12:    0.212
E01:    0.107
E02:    0.659
E03:    0.578
E04:    0.151
E05:    0.45 
E06:    0.364
E07:    0.36 
E08:    0.481
E09:    0.53 
E10:    0.486
E11:    0.2  
E12:    0.333
F01:    0.093
F02:    0.376
F03:    0.831
F04:    0.404
F05:    0.293
F06:    0.355
F07:    0.588
F08:    0.323
F09:    0.586
F10:    0.331
F11:    0.387
F12:    0.434
G01:    0.351
G02:    0.56 
G03:    0.613
G04:    0.472
G05:    0.147
G06:    0.521
G07:    0.204
G08:    0.148
G09:    0.216
G10:    0.387
G11:    0.178
G12:    0.312
H01:    0.397
H02:    0.594
H03:    0.273
H04:    0.424
H05:    0.288
H06:    0.144
H07:    0.159
H08:    0.315
H09:    0.292
H10:    0.278
H11:    0.495
H12:    0.528

