Testname: FB_OD600scan_96well
Date: 12/9/2025  Time: 1:54:09 AM
ID1: P0000000019  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.221
A02:    0.277
A03:    0.219
A04:    0.208
A05:    0.208
A06:    0.217
A07:    0.232
A08:    0.229
A09:    0.195
A10:    0.279
A11:    0.333
A12:    0.197
B01:    0.346
B02:    0.326
B03:    0.154
B04:    0.158
B05:    0.521
B06:    0.548
B07:    0.165
B08:    0.253
B09:    0.228
B10:    0.217
B11:    0.29 
B12:    0.18 
C01:    0.155
C02:    0.296
C03:    0.354
C04:    0.213
C05:    0.224
C06:    0.158
C07:    0.169
C08:    0.245
C09:    0.138
C10:    0.136
C11:    0.293
C12:    0.238
D01:    0.191
D02:    0.162
D03:    0.297
D04:    0.174
D05:    0.157
D06:    0.324
D07:    0.311
D08:    0.237
D09:    0.359
D10:    0.156
D11:    0.166
D12:    0.133
E01:    0.153
E02:    0.145
E03:    0.341
E04:    0.281
E05:    0.323
E06:    0.323
E07:    0.319
E08:    0.299
E09:    0.161
E10:    0.134
E11:    0.318
E12:    0.136
F01:    0.134
F02:    0.144
F03:    0.15 
F04:    0.354
F05:    0.22 
F06:    0.184
F07:    0.139
F08:    0.166
F09:    0.438
F10:    0.145
F11:    0.27 
F12:    0.123
G01:    0.261
G02:    0.13 
G03:    0.165
G04:    0.145
G05:    0.135
G06:    0.15 
G07:    0.18 
G08:    0.265
G09:    0.143
G10:    0.156
G11:    0.116
G12:    0.138
H01:    0.149
H02:    0.349
H03:    0.312
H04:    0.136
H05:    0.41 
H06:    0.134
H07:    0.155
H08:    0.319
H09:    0.135
H10:    0.355
H11:    0.154
H12:    0.199

