Testname: FB_OD600scan_96well
Date: 12/10/2025  Time: 3:44:55 PM
ID1: P0000000008  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.191
A02:    0.541
A03:    0.343
A04:    0.46 
A05:    0.34 
A06:    0.361
A07:    0.57 
A08:    0.262
A09:    0.245
A10:    0.542
A11:    0.454
A12:    0.27 
B01:    0.651
B02:    0.574
B03:    0.467
B04:    0.541
B05:    0.556
B06:    0.217
B07:    0.215
B08:    0.214
B09:    0.431
B10:    0.564
B11:    0.894
B12:    0.179
C01:    0.28 
C02:    0.584
C03:    0.434
C04:    0.359
C05:    0.254
C06:    0.367
C07:    0.56 
C08:    0.435
C09:    0.276
C10:    0.569
C11:    0.395
C12:    0.506
D01:    0.306
D02:    0.378
D03:    0.587
D04:    0.544
D05:    0.316
D06:    0.253
D07:    0.25 
D08:    0.308
D09:    0.468
D10:    0.564
D11:    0.347
D12:    0.368
E01:    0.141
E02:    0.584
E03:    0.526
E04:    0.444
E05:    0.524
E06:    0.452
E07:    0.492
E08:    0.464
E09:    0.466
E10:    0.439
E11:    0.167
E12:    0.393
F01:    0.32 
F02:    0.369
F03:    0.43 
F04:    0.501
F05:    0.435
F06:    0.43 
F07:    0.498
F08:    0.399
F09:    0.496
F10:    0.402
F11:    0.329
F12:    0.448
G01:    0.359
G02:    0.699
G03:    0.524
G04:    0.441
G05:    0.321
G06:    0.928
G07:    0.275
G08:    0.594
G09:    0.274
G10:    0.455
G11:    0.425
G12:    0.38 
H01:    0.542
H02:    0.691
H03:    0.315
H04:    0.41 
H05:    0.57 
H06:    0.139
H07:    0.354
H08:    0.294
H09:    0.365
H10:    0.447
H11:    0.501
H12:    0.47 

