Testname: FB_OD600scan_96well
Date: 12/9/2025  Time: 5:23:23 PM
ID1: P0000000018  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.311
A02:    0.37 
A03:    0.388
A04:    0.234
A05:    0.252
A06:    0.37 
A07:    0.282
A08:    0.451
A09:    0.237
A10:    0.311
A11:    0.419
A12:    0.216
B01:    0.446
B02:    0.424
B03:    0.284
B04:    0.318
B05:    0.484
B06:    0.509
B07:    0.26 
B08:    0.328
B09:    0.193
B10:    0.198
B11:    0.444
B12:    0.45 
C01:    0.266
C02:    0.387
C03:    0.332
C04:    0.376
C05:    0.299
C06:    0.187
C07:    0.19 
C08:    0.314
C09:    0.211
C10:    0.157
C11:    0.362
C12:    0.281
D01:    0.295
D02:    0.216
D03:    0.457
D04:    0.275
D05:    0.158
D06:    0.457
D07:    0.361
D08:    0.406
D09:    0.432
D10:    0.149
D11:    0.177
D12:    0.321
E01:    0.235
E02:    0.249
E03:    0.514
E04:    0.455
E05:    0.43 
E06:    0.422
E07:    0.467
E08:    0.291
E09:    0.305
E10:    0.142
E11:    0.414
E12:    0.141
F01:    0.105
F02:    0.142
F03:    0.157
F04:    0.392
F05:    0.37 
F06:    0.229
F07:    0.275
F08:    0.254
F09:    0.423
F10:    0.304
F11:    0.369
F12:    0.125
G01:    0.32 
G02:    0.116
G03:    0.133
G04:    0.116
G05:    0.242
G06:    0.141
G07:    0.492
G08:    0.276
G09:    0.476
G10:    0.265
G11:    0.141
G12:    0.143
H01:    0.358
H02:    0.319
H03:    0.425
H04:    0.12 
H05:    0.35 
H06:    0.136
H07:    0.217
H08:    0.293
H09:    0.145
H10:    0.344
H11:    0.121
H12:    0.396

