Testname: FB_OD600scan_96well
Date: 12/10/2025  Time: 9:43:16 PM
ID1: P0000000012  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.298
A02:    0.496
A03:    0.418
A04:    0.369
A05:    0.476
A06:    0.51 
A07:    0.494
A08:    0.402
A09:    0.448
A10:    0.203
A11:    0.298
A12:    0.199
B01:    0.254
B02:    0.481
B03:    0.541
B04:    0.448
B05:    0.455
B06:    0.45 
B07:    0.208
B08:    0.44 
B09:    0.463
B10:    0.454
B11:    0.442
B12:    0.25 
C01:    0.472
C02:    0.244
C03:    0.317
C04:    0.42 
C05:    0.238
C06:    0.519
C07:    0.176
C08:    0.302
C09:    0.341
C10:    0.432
C11:    0.304
C12:    0.503
D01:    0.48 
D02:    0.153
D03:    0.201
D04:    0.393
D05:    0.445
D06:    0.486
D07:    0.471
D08:    0.152
D09:    0.353
D10:    0.453
D11:    0.265
D12:    0.596
E01:    0.404
E02:    0.45 
E03:    0.45 
E04:    0.411
E05:    0.399
E06:    0.456
E07:    0.427
E08:    0.363
E09:    0.46 
E10:    0.465
E11:    0.491
E12:    0.508
F01:    0.396
F02:    0.405
F03:    0.45 
F04:    0.428
F05:    0.464
F06:    0.523
F07:    0.286
F08:    0.354
F09:    0.382
F10:    0.344
F11:    0.49 
F12:    0.393
G01:    0.488
G02:    0.434
G03:    0.269
G04:    0.447
G05:    0.348
G06:    0.455
G07:    0.689
G08:    0.158
G09:    0.495
G10:    0.625
G11:    0.444
G12:    0.505
H01:    0.233
H02:    0.319
H03:    0.28 
H04:    0.437
H05:    0.369
H06:    0.373
H07:    0.35 
H08:    0.354
H09:    0.502
H10:    0.318
H11:    0.322
H12:    0.337

