Testname: FB_OD600scan_96well
Date: 12/9/2025  Time: 9:06:37 AM
ID1: P0000000003  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.143
A02:    0.342
A03:    0.4  
A04:    0.194
A05:    0.272
A06:    0.264
A07:    0.316
A08:    0.439
A09:    0.251
A10:    0.343
A11:    0.374
A12:    0.144
B01:    0.392
B02:    0.433
B03:    0.159
B04:    0.243
B05:    0.482
B06:    0.445
B07:    0.237
B08:    0.296
B09:    0.295
B10:    0.21 
B11:    0.461
B12:    0.436
C01:    0.249
C02:    0.322
C03:    0.334
C04:    0.265
C05:    0.27 
C06:    0.16 
C07:    0.155
C08:    0.289
C09:    0.139
C10:    0.146
C11:    0.333
C12:    0.273
D01:    0.229
D02:    0.198
D03:    0.442
D04:    0.285
D05:    0.14 
D06:    0.439
D07:    0.33 
D08:    0.327
D09:    0.425
D10:    0.15 
D11:    0.162
D12:    0.288
E01:    0.162
E02:    0.164
E03:    0.523
E04:    0.487
E05:    0.389
E06:    0.396
E07:    0.414
E08:    0.258
E09:    0.276
E10:    0.126
E11:    0.383
E12:    0.131
F01:    0.122
F02:    0.146
F03:    0.147
F04:    0.394
F05:    0.172
F06:    0.228
F07:    0.264
F08:    0.231
F09:    0.463
F10:    0.318
F11:    0.399
F12:    0.123
G01:    0.283
G02:    0.11 
G03:    0.13 
G04:    0.127
G05:    0.151
G06:    0.136
G07:    0.248
G08:    0.266
G09:    0.208
G10:    0.263
G11:    0.138
G12:    0.16 
H01:    0.348
H02:    0.34 
H03:    0.391
H04:    0.129
H05:    0.372
H06:    0.129
H07:    0.206
H08:    0.261
H09:    0.133
H10:    0.285
H11:    0.134
H12:    0.459

