Testname: FB_OD600scan_96well
Date: 12/9/2025  Time: 9:52:11 PM
ID1: P0000000021  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.132
A02:    0.596
A03:    0.229
A04:    0.423
A05:    0.377
A06:    0.451
A07:    0.576
A08:    0.361
A09:    0.228
A10:    0.493
A11:    0.537
A12:    0.211
B01:    0.56 
B02:    0.611
B03:    0.501
B04:    0.641
B05:    0.56 
B06:    0.249
B07:    0.247
B08:    0.223
B09:    0.195
B10:    0.634
B11:    0.957
B12:    0.157
C01:    0.266
C02:    0.722
C03:    0.462
C04:    0.385
C05:    0.199
C06:    0.385
C07:    0.615
C08:    0.497
C09:    0.283
C10:    0.619
C11:    0.475
C12:    0.477
D01:    0.578
D02:    0.239
D03:    0.612
D04:    0.593
D05:    0.291
D06:    0.263
D07:    0.26 
D08:    0.28 
D09:    0.39 
D10:    0.733
D11:    0.376
D12:    0.161
E01:    0.146
E02:    0.597
E03:    0.551
E04:    0.247
E05:    0.466
E06:    0.444
E07:    0.611
E08:    0.471
E09:    0.528
E10:    0.473
E11:    0.193
E12:    0.337
F01:    0.23 
F02:    0.382
F03:    0.487
F04:    0.575
F05:    0.455
F06:    0.427
F07:    0.553
F08:    0.4  
F09:    0.547
F10:    0.433
F11:    0.353
F12:    0.424
G01:    0.386
G02:    0.726
G03:    0.572
G04:    0.492
G05:    0.159
G06:    1.401
G07:    0.26 
G08:    0.321
G09:    0.234
G10:    0.383
G11:    0.331
G12:    0.404
H01:    0.601
H02:    0.68 
H03:    0.229
H04:    0.405
H05:    0.571
H06:    0.219
H07:    0.254
H08:    0.353
H09:    0.353
H10:    0.247
H11:    0.536
H12:    0.572

