Testname: FB_OD600scan_96well
Date: 12/9/2025  Time: 7:49:10 AM
ID1: P0000000024  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.145
A02:    0.234
A03:    0.264
A04:    0.265
A05:    0.442
A06:    0.216
A07:    0.565
A08:    0.213
A09:    0.238
A10:    0.282
A11:    0.645
A12:    0.224
B01:    0.28 
B02:    0.712
B03:    0.487
B04:    0.279
B05:    0.47 
B06:    0.4  
B07:    0.238
B08:    0.185
B09:    0.193
B10:    0.708
B11:    1.018
B12:    0.164
C01:    0.265
C02:    0.576
C03:    0.47 
C04:    0.31 
C05:    0.158
C06:    0.412
C07:    0.915
C08:    0.507
C09:    0.323
C10:    0.701
C11:    0.335
C12:    0.52 
D01:    0.215
D02:    0.168
D03:    0.318
D04:    0.302
D05:    0.276
D06:    0.232
D07:    0.245
D08:    0.352
D09:    0.305
D10:    0.269
D11:    0.269
D12:    0.159
E01:    0.139
E02:    0.601
E03:    0.65 
E04:    0.152
E05:    0.443
E06:    0.327
E07:    0.29 
E08:    0.363
E09:    0.571
E10:    0.495
E11:    0.268
E12:    0.255
F01:    0.129
F02:    0.38 
F03:    0.468
F04:    0.348
F05:    0.23 
F06:    0.321
F07:    0.364
F08:    0.2  
F09:    0.725
F10:    0.231
F11:    0.375
F12:    0.289
G01:    0.346
G02:    0.527
G03:    0.745
G04:    0.457
G05:    0.162
G06:    0.509
G07:    0.209
G08:    0.174
G09:    0.168
G10:    0.382
G11:    0.153
G12:    0.235
H01:    0.294
H02:    0.616
H03:    0.261
H04:    0.432
H05:    0.263
H06:    0.173
H07:    0.177
H08:    0.254
H09:    0.215
H10:    0.172
H11:    0.488
H12:    0.331

