Testname: FB_OD600scan_96well
Date: 12/9/2025  Time: 4:01:52 AM
ID1: P0000000012  ID2: d12a6641-4d0c-48bd-aeac-668fa5facce1  ID3: 
No. of Channels / Multichromatics: 1
No. of Intervals: 1
Configuration: Absorbance
Used wavelengths, gain values and path length correction factor:
  1: 600nm                                          0/0     1.7006
  2: -                                              
  3: -                                              
  4: -                                              
  5: -                                              
Focal height [mm]: -
header_end

Chromatic: 1
Interval: 1
Time [s]: 0
A01:    0.181
A02:    0.214
A03:    0.237
A04:    0.194
A05:    0.272
A06:    0.205
A07:    0.296
A08:    0.228
A09:    0.36 
A10:    0.197
A11:    0.2  
A12:    0.184
B01:    0.139
B02:    0.231
B03:    0.168
B04:    0.482
B05:    0.277
B06:    0.139
B07:    0.167
B08:    0.443
B09:    0.25 
B10:    0.316
B11:    0.396
B12:    0.159
C01:    0.252
C02:    0.143
C03:    0.171
C04:    0.226
C05:    0.142
C06:    0.383
C07:    0.168
C08:    0.357
C09:    0.369
C10:    0.177
C11:    0.166
C12:    0.434
D01:    0.516
D02:    0.143
D03:    0.473
D04:    0.161
D05:    0.165
D06:    0.378
D07:    0.281
D08:    0.145
D09:    0.412
D10:    0.266
D11:    0.169
D12:    0.548
E01:    0.186
E02:    0.476
E03:    0.236
E04:    0.452
E05:    0.222
E06:    0.299
E07:    0.161
E08:    0.264
E09:    0.36 
E10:    0.317
E11:    0.316
E12:    0.376
F01:    0.144
F02:    0.427
F03:    0.374
F04:    0.196
F05:    0.243
F06:    0.156
F07:    0.163
F08:    0.154
F09:    0.244
F10:    0.324
F11:    0.153
F12:    0.15 
G01:    0.15 
G02:    0.203
G03:    0.141
G04:    0.174
G05:    0.206
G06:    0.272
G07:    0.371
G08:    0.141
G09:    0.172
G10:    0.286
G11:    0.347
G12:    0.496
H01:    0.128
H02:    0.18 
H03:    0.14 
H04:    0.421
H05:    0.303
H06:    0.142
H07:    0.155
H08:    0.16 
H09:    0.315
H10:    0.139
H11:    0.132
H12:    0.142

