0.052, 0.060, 0.154, 0.097, 0.092, 0.111, 0.100, 0.116, 0.178, 0.046, 0.189, 0.114, 0.151, 0.071, 0.099, 0.118, 0.145, 0.075, 0.076, 0.086, 0.028, 0.126, 0.027, 0.094
0.034, 0.033, 0.161, 0.035, 0.091, 0.034, 0.132, 0.034, 0.106, 0.034, 0.134, 0.034, 0.170, 0.036, 0.034, 0.035, 0.042, 0.035, 0.114, 0.034, 0.029, 0.034, 0.027, 0.034
0.036, 0.114, 0.159, 0.099, 0.156, 0.043, 0.128, 0.052, 0.159, 0.109, 0.144, 0.114, 0.033, 0.049, 0.147, 0.110, 0.150, 0.084, 0.160, 0.048, 0.154, 0.107, 0.031, 0.105
0.204, 0.033, 0.207, 0.035, 0.123, 0.032, 0.205, 0.033, 0.199, 0.033, 0.079, 0.031, 0.029, 0.033, 0.036, 0.035, 0.031, 0.034, 0.226, 0.032, 0.164, 0.032, 0.029, 0.036
0.128, 0.097, 0.036, 0.114, 0.057, 0.076, 0.143, 0.087, 0.034, 0.037, 0.199, 0.029, 0.029, 0.027, 0.104, 0.078, 0.117, 0.024, 0.111, 0.028, 0.029, 0.107, 0.156, 0.070
0.091, 0.034, 0.186, 0.031, 0.129, 0.033, 0.133, 0.031, 0.035, 0.035, 0.067, 0.033, 0.216, 0.035, 0.130, 0.032, 0.091, 0.033, 0.220, 0.033, 0.104, 0.032, 0.146, 0.031
0.164, 0.065, 0.031, 0.112, 0.169, 0.123, 0.130, 0.047, 0.103, 0.031, 0.149, 0.128, 0.148, 0.112, 0.028, 0.092, 0.191, 0.124, 0.149, 0.031, 0.029, 0.083, 0.143, 0.037
0.126, 0.031, 0.087, 0.034, 0.206, 0.033, 0.150, 0.033, 0.079, 0.035, 0.037, 0.034, 0.037, 0.032, 0.083, 0.033, 0.146, 0.031, 0.192, 0.037, 0.097, 0.033, 0.036, 0.033
0.093, 0.036, 0.138, 0.034, 0.153, 0.160, 0.112, 0.136, 0.131, 0.135, 0.152, 0.130, 0.086, 0.104, 0.111, 0.095, 0.150, 0.054, 0.150, 0.027, 0.152, 0.133, 0.150, 0.027
0.034, 0.035, 0.218, 0.034, 0.188, 0.033, 0.047, 0.031, 0.108, 0.033, 0.142, 0.033, 0.215, 0.030, 0.150, 0.032, 0.146, 0.038, 0.094, 0.033, 0.031, 0.031, 0.080, 0.032
0.076, 0.035, 0.127, 0.037, 0.144, 0.041, 0.125, 0.095, 0.154, 0.134, 0.147, 0.069, 0.095, 0.034, 0.062, 0.077, 0.096, 0.114, 0.113, 0.065, 0.179, 0.098, 0.095, 0.027
0.035, 0.033, 0.134, 0.031, 0.191, 0.033, 0.192, 0.035, 0.132, 0.032, 0.135, 0.034, 0.196, 0.033, 0.115, 0.031, 0.159, 0.034, 0.059, 0.035, 0.061, 0.033, 0.112, 0.030
0.138, 0.074, 0.138, 0.029, 0.029, 0.033, 0.164, 0.030, 0.079, 0.033, 0.151, 0.039, 0.261, 0.142, 0.029, 0.077, 0.163, 0.084, 0.208, 0.033, 0.159, 0.032, 0.144, 0.026
0.121, 0.032, 0.279, 0.034, 0.193, 0.032, 0.138, 0.031, 0.031, 0.032, 0.212, 0.034, 0.078, 0.034, 0.184, 0.032, 0.051, 0.034, 0.161, 0.033, 0.152, 0.034, 0.087, 0.032
0.041, 0.076, 0.075, 0.086, 0.030, 0.162, 0.093, 0.032, 0.040, 0.068, 0.053, 0.035, 0.079, 0.116, 0.031, 0.072, 0.035, 0.028, 0.127, 0.082, 0.087, 0.026, 0.143, 0.117
0.209, 0.032, 0.266, 0.035, 0.036, 0.032, 0.116, 0.035, 0.160, 0.034, 0.041, 0.033, 0.034, 0.035, 0.038, 0.035, 0.109, 0.032, 0.137, 0.032, 0.139, 0.031, 0.141, 0.032

