0.096, 0.049, 0.116, 0.091, 0.143, 0.130, 0.051, 0.071, 0.228, 0.052, 0.230, 0.094, 0.169, 0.069, 0.104, 0.112, 0.137, 0.047, 0.061, 0.100, 0.033, 0.116, 0.032, 0.092
0.038, 0.034, 0.102, 0.033, 0.042, 0.035, 0.043, 0.034, 0.089, 0.034, 0.100, 0.035, 0.213, 0.033, 0.037, 0.033, 0.042, 0.035, 0.032, 0.034, 0.030, 0.034, 0.032, 0.035
0.038, 0.112, 0.088, 0.132, 0.178, 0.043, 0.143, 0.050, 0.185, 0.158, 0.211, 0.144, 0.032, 0.049, 0.114, 0.084, 0.175, 0.042, 0.083, 0.044, 0.147, 0.098, 0.032, 0.042
0.060, 0.033, 0.289, 0.034, 0.147, 0.033, 0.164, 0.033, 0.244, 0.033, 0.100, 0.032, 0.030, 0.033, 0.043, 0.033, 0.026, 0.033, 0.188, 0.033, 0.188, 0.032, 0.025, 0.033
0.144, 0.055, 0.033, 0.113, 0.039, 0.087, 0.034, 0.085, 0.032, 0.042, 0.189, 0.025, 0.031, 0.028, 0.052, 0.088, 0.061, 0.075, 0.037, 0.027, 0.033, 0.104, 0.125, 0.033
0.042, 0.033, 0.175, 0.032, 0.146, 0.033, 0.170, 0.034, 0.037, 0.032, 0.188, 0.032, 0.265, 0.030, 0.149, 0.034, 0.037, 0.033, 0.261, 0.036, 0.077, 0.034, 0.136, 0.035
0.187, 0.068, 0.032, 0.064, 0.036, 0.118, 0.057, 0.043, 0.031, 0.033, 0.175, 0.133, 0.158, 0.082, 0.030, 0.091, 0.056, 0.147, 0.131, 0.033, 0.032, 0.033, 0.141, 0.034
0.038, 0.030, 0.033, 0.033, 0.138, 0.034, 0.170, 0.032, 0.060, 0.034, 0.045, 0.033, 0.040, 0.031, 0.086, 0.034, 0.087, 0.029, 0.049, 0.033, 0.031, 0.033, 0.029, 0.032
0.056, 0.038, 0.146, 0.030, 0.060, 0.132, 0.130, 0.155, 0.062, 0.145, 0.141, 0.151, 0.041, 0.133, 0.061, 0.105, 0.138, 0.046, 0.067, 0.032, 0.080, 0.128, 0.113, 0.032
0.030, 0.032, 0.262, 0.031, 0.254, 0.032, 0.034, 0.033, 0.136, 0.032, 0.073, 0.032, 0.194, 0.033, 0.060, 0.032, 0.103, 0.031, 0.112, 0.031, 0.029, 0.032, 0.050, 0.031
0.045, 0.035, 0.108, 0.037, 0.161, 0.036, 0.132, 0.113, 0.142, 0.076, 0.110, 0.068, 0.071, 0.049, 0.076, 0.086, 0.082, 0.148, 0.150, 0.058, 0.050, 0.102, 0.079, 0.029
0.035, 0.030, 0.134, 0.032, 0.048, 0.030, 0.237, 0.031, 0.153, 0.032, 0.095, 0.031, 0.146, 0.032, 0.078, 0.033, 0.226, 0.033, 0.073, 0.032, 0.088, 0.035, 0.083, 0.031
0.114, 0.075, 0.053, 0.031, 0.035, 0.030, 0.176, 0.029, 0.068, 0.039, 0.071, 0.026, 0.146, 0.046, 0.034, 0.075, 0.137, 0.029, 0.142, 0.047, 0.147, 0.031, 0.190, 0.028
0.067, 0.032, 0.166, 0.031, 0.248, 0.033, 0.136, 0.032, 0.036, 0.031, 0.264, 0.032, 0.037, 0.032, 0.040, 0.031, 0.048, 0.030, 0.093, 0.032, 0.034, 0.035, 0.071, 0.034
0.037, 0.067, 0.085, 0.120, 0.034, 0.181, 0.089, 0.029, 0.037, 0.092, 0.044, 0.037, 0.041, 0.038, 0.032, 0.068, 0.040, 0.034, 0.047, 0.071, 0.035, 0.026, 0.034, 0.103
0.159, 0.034, 0.189, 0.034, 0.038, 0.031, 0.171, 0.032, 0.106, 0.032, 0.031, 0.037, 0.040, 0.032, 0.038, 0.030, 0.059, 0.031, 0.052, 0.030, 0.138, 0.034, 0.045, 0.034

