Testname: FB_Chlorophyll_384
Date: 2/16/2026  Time: 4:48:03 PM (UTC--6)
ID1: b12_release_uptake_death1  ID2: plate4_hour72  ID3: 
No. of Channels / Multichromatics: 1
No. of Cycles: 1
Configuration: Fluorescence
Used filter settings and gain values:
  1: 400-100/700-100                                       auto
  2: -
  3: -
  4: -
  5: -
Focal height [mm]: 1.3

Chromatic: 1
Cycle: 1
A01:    58263
A02:   330600
A03:    96965
A04:   191631
A05:   109014
A06:   110187
A07:   160528
A08:   222537
A09:    89365
A10:   251805
A11:    76994
A12:   419019
A13:    92036
A14:   359813
A15:    88664
A16:   143886
A17:    75910
A18:   279706
A19:    79431
A20:   320607
A21:    74059
A22:   370257
A23:    96147
A24:   184816
B01:     7618
B02:    60384
B03:   133763
B04:   304435
B05:   141994
B06:   425089
B07:   142940
B08:   483433
B09:   146513
B10:   445621
B11:   104416
B12:   396600
B13:   158422
B14:   302426
B15:   178666
B16:   474889
B17:   201255
B18:   354728
B19:    83293
B20:   345719
B21:   185669
B22:   493877
B23:   183599
B24:   226597
C01:    71858
C02:   323410
C03:   106273
C04:   510815
C05:   198072
C06:   562338
C07:   148605
C08:   622377
C09:   164935
C10:   585536
C11:   190736
C12:   432224
C13:   213542
C14:   515449
C15:   181460
C16:   378555
C17:   200299
C18:   604674
C19:   192465
C20:   376505
C21:   225708
C22:   319623
C23:   151036
C24:   303875
D01:    18879
D02:   169019
D03:   122093
D04:   578332
D05:   163503
D06:   523446
D07:   146411
D08:   560793
D09:   153353
D10:   392554
D11:   152008
D12:   452361
D13:   176055
D14:   404829
D15:   155692
D16:   393251
D17:   214342
D18:   348795
D19:   116774
D20:   265817
D21:   137900
D22:   447945
D23:   167255
D24:   316205
E01:    60664
E02:   393770
E03:   176962
E04:   406907
E05:   152705
E06:   445922
E07:   141526
E08:   505497
E09:   120987
E10:   507260
E11:   136988
E12:   558100
E13:   141162
E14:   350422
E15:   126455
E16:   425430
E17:   147039
E18:   380838
E19:   172307
E20:   442901
E21:   143811
E22:   507356
E23:   163487
