Testname: FB_Chlorophyll_384
Date: 2/18/2026  Time: 4:02:15 PM (UTC--6)
ID1: b12_release_uptake_death1  ID2: plate5_hour120  ID3: 
No. of Channels / Multichromatics: 1
No. of Cycles: 1
Configuration: Fluorescence
Used filter settings and gain values:
  1: 400-100/700-100                                       auto
  2: -
  3: -
  4: -
  5: -
Focal height [mm]: 1.3

Chromatic: 1
Cycle: 1
A01:     6107
A02:    16309
A03:    99232
A04:   323191
A05:    88403
A06:   321728
A07:    93305
A08:   362916
A09:    73841
A10:   291408
A11:    88405
A12:   132111
A13:    81786
A14:   452661
A15:    82326
A16:   263384
A17:    99556
A18:   363928
A19:    17612
A20:   173876
A21:    95041
A22:   423858
A23:    64538
A24:    95962
B01:     3109
B02:    12392
B03:   118087
B04:   193269
B05:   124031
B06:   393346
B07:    87646
B08:   364078
B09:    99420
B10:   231819
B11:    70307
B12:   419156
B13:   107829
B14:   401207
B15:    91954
B16:   376395
B17:    96503
B18:   344024
B19:    12306
B20:    26030
B21:   102611
B22:   256002
B23:   133581
B24:   271230
C01:    13039
C02:    53389
C03:    64790
C04:   336601
C05:   108695
C06:   218327
C07:   106071
C08:   319705
C09:    94107
C10:   329096
C11:   103251
C12:   322863
C13:   113907
C14:   476379
C15:    97554
C16:   263329
C17:   133610
C18:   411241
C19:    55460
C20:   129264
C21:   101696
C22:   207310
C23:   109852
C24:   376204
D01:     8235
D02:    40461
D03:    67961
D04:   392882
D05:   119424
D06:   274552
D07:   103271
D08:   391638
D09:    84585
D10:   402218
D11:    84394
D12:   287252
D13:   120834
D14:   384078
D15:   100959
D16:   286637
D17:   123759
D18:   368234
D19:    11913
D20:    67136
D21:   122133
D22:   428110
D23:   161799
D24:   332910
E01:    15874
E02:    80355
E03:    15228
E04:    58931
E05:    48301
E06:   231013
E07:   156698
E08:   209467
E09:    86251
E10:   284600
E11:    10326
E12:    40384
E13:    98396
E14:   374290
E15:    13237
E16:    49251
E17:    29184
E18:    66365
E19:   101137
E20:   201034
E21:    97163
E22:   397078
E23:    97019
E24:   269193
F01:     9877
F02:    33200
F03:    13318
F04:    44830
F05:    73173
F06:   269330
F07:   112688
F08:   334154
F09:   124255
F10:   297587
F11:     8072
F12:    30388
F13:   102243
F14:   224642
F15:    23040
F16:    44301
F17:     8264
F18:    42109
F19:    88550
F20:   346499
F21:    97285
F22:   178621
F23:   135745
F24:   197682
G01:     8911
G02:    59133
G03:    21725
G04:    34638
G05:    62115
G06:   190919
G07:   100270
G08:   435615
G09:   129990
G10:   445785
G11:     7428
G12:    20747
G13:    90564
G14:   300512
G15:    19399
G16:    42107
G17:    18644
G18:    47175
G19:   128882
G20:   267826
G21:    82692
G22:   391487
G23:   109168
G24:   326800
H01:     9527
H02:    21342
H03:    15066
H04:    33858
H05:    12201
H06:    33867
H07:   116922
H08:   260103
H09:    97869
H10:   350709
H11:     6477
H12:    20268
H13:   103217
H14:   274607
H15:    21828
H16:    45936
H17:     5972
H18:    12736
H19:   109957
H20:   295058
H21:    96497
H22:   350531
H23:   138231
H24:   330477
I01:     3977
I02:    15164
I03:   106553
I04:   188433
I05:    93210
I06:   258804
I07:    99639
I08:   202272
I09:   110559
I10:   439620
I11:   116481
I12:   197568
I13:   142126
I14:   422655
I15:   126310
I16:   265872
I17:   120665
I18:   378268
I19:    31712
I20:    79091
I21:    88949
I22:   234731
I23:    88664
I24:   249645
J01:     1632
J02:     8593
J03:    71371
J04:   239269
J05:    86931
J06:   222496
J07:   106620
J08:   282672
J09:   111070
J10:   286268
J11:   124328
J12:   252311
J13:    82522
J14:   278612
J15:   127061
J16:   324175
J17:   106079
J18:   290683
J19:     8532
J20:    31524
J21:   107641
J22:   297997
J23:   106104
J24:   304558
K01:    10172
K02:    54212
K03:    87918
K04:   315549
K05:    85992
K06:   487452
K07:   121081
K08:   370667
K09:    83265
K10:   361905
K11:    98838
K12:   321113
K13:    99850
K14:   317969
K15:   125452
K16:   299596
K17:    87426
K18:   372745
K19:    48512
K20:    92726
K21:   112932
K22:   302617
K23:   130905
K24:   225503
L01:     5959
L02:    25379
L03:   108624
L04:   224068
L05:    98172
L06:   459278
L07:   124408
L08:   322917
L09:    98444
L10:   347825
L11:    97616
L12:   227540
L13:   129888
L14:   419101
L15:    98083
L16:   192328
L17:    91543
L18:   278517
L19:    15145
L20:    37263
L21:   105312
L22:   275263
L23:   121245
L24:   266746
M01:     9567
M02:    42434
M03:    13410
M04:    44635
M05:    65332
M06:   157658
M07:   125003
M08:   322494
M09:   102261
M10:   262222
M11:     6889
M12:    27158
M13:    88958
M14:   316916
M15:    10864
M16:    45116
M17:    14163
M18:    40595
M19:    95018
M20:   284695
M21:    94532
M22:   319910
M23:    97354
M24:   285748
N01:     7097
N02:    35494
N03:    15054
N04:    32948
N05:    46515
N06:   120379
N07:   101661
N08:   215988
N09:   101949
N10:   187857
N11:     4933
N12:    21127
N13:    83755
N14:   250315
N15:    12011
N16:    39494
N17:     3693
N18:    18430
N19:    85032
N20:   216221
N21:   114241
N22:   298680
N23:    76014
N24:   122527
O01:     5974
O02:    31119
O03:    14012
O04:    47244
O05:    39649
O06:   127964
O07:    94377
O08:   243781
O09:    85789
O10:   177357
O11:    13187
O12:    28379
O13:    99830
O14:   306855
O15:    14457
O16:    46431
O17:    12899
O18:    17757
O19:   103771
O20:   256002
O21:    96765
O22:   252367
O23:   130386
O24:   152286
P01:     3543
P02:     9887
P03:    12011
P04:    24929
P05:     2740
P06:    12757
P07:    87924
P08:   143672
P09:   125849
P10:   241552
P11:     3633
P12:    17130
P13:   107475
P14:   169153
P15:     9837
P16:    29544
P17:     3441
P18:     6636
P19:    78199
P20:   329958
P21:    90723
P22:   120735
P23:   120915
P24:   119237

