Testname: FB_Chlorophyll_384
Date: 2/16/2026  Time: 4:50:26 PM (UTC--6)
ID1: b12_release_uptake_death1  ID2: plate5_hour72  ID3: 
No. of Channels / Multichromatics: 1
No. of Cycles: 1
Configuration: Fluorescence
Used filter settings and gain values:
  1: 400-100/700-100                                       auto
  2: -
  3: -
  4: -
  5: -
Focal height [mm]: 1.3

Chromatic: 1
Cycle: 1
A01:     5008
A02:    15335
A03:    72465
A04:   308222
A05:    85176
A06:   482517
A07:    49399
A08:   159781
A09:    83501
A10:   209550
A11:    89037
A12:   223877
A13:    62288
A14:   240131
A15:   114498
A16:   395793
A17:    89342
A18:   267170
A19:    27230
A20:   143973
A21:   104827
A22:   297040
A23:   111544
A24:   150924
B01:     2463
B02:    12900
B03:   144535
B04:   299787
B05:   155131
B06:   412075
B07:   172251
B08:   448779
B09:   150717
B10:   390653
B11:   128239
B12:   341495
B13:   143471
B14:   337203
B15:   147797
B16:   412307
B17:   146854
B18:   369232
B19:    11546
B20:    47399
B21:   159432
B22:   339253
B23:   165411
B24:   291230
C01:    24059
C02:    90299
C03:   141223
C04:   381891
C05:   176294
C06:   465662
C07:   177270
C08:   317955
C09:   130447
C10:   499045
C11:   151676
C12:   398555
C13:   165735
C14:   373005
C15:   150163
C16:   391296
C17:   156607
C18:   325857
C19:    58968
C20:   160945
C21:   138198
C22:   406579
C23:   140987
C24:   253240
D01:    10922
D02:    65776
D03:   100583
D04:   404160
D05:   166779
D06:   400715
D07:   155743
D08:   476133
D09:   149603
D10:   538497
D11:   139313
D12:   345815
D13:   160574
D14:   389437
D15:   169312
D16:   312665
D17:   154607
D18:   354017
D19:    22181
D20:    78647
D21:   156854
D22:   360333
D23:   162674
D24:   364694
E01:    21106
E02:   120153
E03:    23663
E04:    63698
E05:    99136
E06:   214475
E07:   152700
E08:   362616
E09:   132668
E10:   284586
E11:    12934
E12:    32085
E13:   141521
E14:   301250
E15:    15913
E16:    56808
E17:    38485
E18:   119051
E19:   119885
E20:   297805
E21:   120186
E22:   334059
E23:   148561
E24:   286322
F01:    11966
F02:    55903
F03:    25106
F04:    58713
F05:    98964
F06:   269768
F07:   174817
F08:   405431
F09:   156398
F10:   301182
F11:    11249
F12:    40188
F13:   149933
F14:   427098
F15:    19952
F16:    51368
F17:    18208
F18:    66613
F19:   142470
F20:   377065
F21:   112314
F22:   387988
F23:   155334
F24:   276138
G01:    19253
G02:    91626
G03:    34250
G04:   103733
G05:    95086
G06:   267321
G07:   164761
G08:   511266
G09:   185571
G10:   315399
G11:    10126
G12:    37836
G13:   173425
G14:   371242
G15:    21895
G16:    61105
G17:    22271
G18:    68501
G19:   162437
G20:   421193
G21:   123249
G22:   286268
G23:   151169
G24:   278161
H01:     7590
H02:    40936
H03:    23966
H04:   120613
H05:    12736
H06:    53777
H07:   166241
H08:   455710
H09:   169972
H10:   483324
H11:     9716
H12:    26839
H13:   165146
H14:   560246
H15:    17324
H16:    59713
H17:     6650
H18:    18818
H19:   155818
H20:   353949
H21:   137841
H22:   361604
H23:   161574
H24:   421316
I01:     3962
I02:    20213
I03:   141712
I04:   283588
I05:   169883
I06:   390202
I07:   169919
I08:   382465
I09:   163083
I10:   464459
I11:   179744
I12:   341892
I13:   152059
I14:   437241
I15:   174606
I16:   394180
I17:   156530
I18:   425581
I19:    44227
I20:   103696
I21:   133984
I22:   343628
I23:   124382
I24:   248948
J01:     1797
J02:     8625
J03:   128630
J04:   349424
J05:   159555
J06:   412102
J07:   173065
J08:   375001
J09:   167186
J10:   389929
J11:   157976
J12:   311995
J13:   182856
J14:   629540
J15:   167166
J16:   391132
J17:   172447
J18:   453167
J19:     9127
J20:    46229
J21:   145247
J22:   309069
J23:   135722
J24:   251860
K01:    19318
K02:    90729
K03:   135423
K04:   466619
K05:   226693
K06:   459333
K07:   175009
K08:   449025
K09:   136662
K10:   393592
K11:   171564
K12:   401316
K13:   158526
K14:   385308
K15:   156942
K16:   332555
K17:   135780
K18:   382998
K19:    53884
K20:   131043
K21:   166724
K22:   473208
K23:   153080
K24:   248825
L01:     7169
L02:    38827
L03:   124792
L04:   353416
L05:   185600
L06:   495559
L07:   189870
L08:   453304
L09:   181937
L10:   552659
L11:   172666
L12:   374892
L13:   165666
L14:   544115
L15:   171679
L16:   385267
L17:   141865
L18:   432498
L19:    19452
L20:    74318
L21:   172025
L22:   356068
L23:   155355
L24:   277122
M01:    16276
M02:    90349
M03:    21763
M04:    72488
M05:    78328
M06:   211315
M07:   151640
M08:   291941
M09:   135512
M10:   377803
M11:     6744
M12:    45871
M13:   136359
M14:   261812
M15:    20565
M16:    63430
M17:    18222
M18:    49541
M19:   152564
M20:   339007
M21:   176067
M22:   392266
M23:   154940
M24:   323382
N01:     7090
N02:    41676
N03:    20852
N04:    72429
N05:    90445
N06:   238791
N07:   145931
N08:   505305
N09:   152277
N10:   380155
N11:     6694
N12:    37092
N13:   147581
N14:   275687
N15:    22487
N16:    74157
N17:     5627
N18:    37700
N19:   166136
N20:   326964
N21:   179478
N22:   287840
N23:   138890
N24:   321263
O01:    11254
O02:    58728
O03:    21779
O04:    82905
O05:   111841
O06:   225640
O07:   172370
O08:   438595
O09:   148265
O10:   433414
O11:    15384
O12:    37234
O13:   152335
O14:   411856
O15:    32378
O16:    70564
O17:    16368
O18:    45334
O19:   157025
O20:   360565
O21:   177930
O22:   401685
O23:   167159
O24:   257998
P01:     3863
P02:    12113
P03:    14158
P04:    54685
P05:     5349
P06:    13836
P07:    64779
P08:   357585
P09:    73062
P10:   349930
P11:     5407
P12:    10568
P13:    60757
P14:   137011
P15:     9569
P16:    37317
P17:     4240
P18:     4989
P19:   133597
P20:   178843
P21:   104022
P22:   168295
P23:    92755
P24:   140681

