Testname: FB_Chlorophyll_384
Date: 2/18/2026  Time: 4:21:18 PM (UTC--6)
ID1: b12_release_uptake_death1  ID2: plate12_hour120  ID3: 
No. of Channels / Multichromatics: 1
No. of Cycles: 1
Configuration: Fluorescence
Used filter settings and gain values:
  1: 400-100/700-100                                       auto
  2: -
  3: -
  4: -
  5: -
Focal height [mm]: 1.3

Chromatic: 1
Cycle: 1
A01:    13767
A02:    75199
A03:    46475
A04:   106777
A05:    55704
A06:   227308
A07:    57573
A08:   159621
A09:    48543
A10:   168308
A11:    52240
A12:   167205
A13:    72028
A14:   152134
A15:    61950
A16:   142868
A17:    61188
A18:   117857
A19:    46668
A20:   153313
A21:    90554
A22:   151721
A23:    55220
A24:    57998
B01:     4429
B02:    38163
B03:   112167
B04:   521300
B05:   138868
B06:   248032
B07:   135323
B08:   483173
B09:   134028
B10:   245913
B11:   109172
B12:   456927
B13:   138183
B14:   301236
B15:   139646
B16:   314961
B17:   167609
B18:   228757
B19:    90055
B20:   201270
B21:   162148
B22:   344858
B23:   150652
B24:   115757
C01:    22343
C02:   126408
C03:    96563
C04:   253172
C05:   140854
C06:   415314
C07:   116384
C08:   273377
C09:   133092
C10:   476557
C11:   127535
C12:   333867
C13:   141642
C14:   378637
C15:   137245
C16:   362821
C17:   139299
C18:   509502
C19:   145399
C20:   301893
C21:   176255
C22:   489038
C23:   145767
C24:   197466
D01:     5498
D02:    44228
D03:   104603
D04:   338091
D05:   137051
D06:   442122
D07:   147237
D08:   277355
D09:   192902
D10:   312856
D11:   130222
D12:   303984
D13:   173316
D14:   309603
D15:   103427
D16:   325952
D17:   148528
D18:   294483
D19:   102586
D20:   242222
D21:   143579
D22:   365049
D23:   110695
D24:   187427
E01:   122632
E02:   185245
E03:   106728
E04:   220090
E05:   121003
E06:   379471
E07:    99545
E08:   457897
E09:   137894
E10:   284832
E11:   117917
E12:   273431
E13:   125177
E14:   285721
E15:   100350
E16:   214516
E17:    95467
E18:   230534
E19:   113739
E20:   286445
E21:    96795
E22:   253008
E23:   129480
E24:   230397
F01:    14076
F02:    84959
F03:    23029
F04:    84213
F05:    91394
F06:   207146
F07:   140156
F08:   270355
F09:   127508
F10:   288004
F11:    10029
F12:    74769
F13:   131922
F14:   196575
F15:     7256
F16:    45225
F17:    51083
F18:   140533
F19:   141580
F20:   285816
F21:    88067
F22:   264614
F23:   132723
F24:   147375
G01:    72194
G02:   320115
G03:   140027
G04:   263944
G05:   123118
G06:   265571
G07:   129493
G08:   284737
G09:   148424
G10:   277341
G11:   108971
G12:   291886
G13:   137593
G14:   298803
G15:   143243
G16:   335508
G17:   107362
G18:   221977
G19:   151064
G20:   324312
G21:   121854
G22:   366922
G23:   145081
G24:   394536
H01:    29229
H02:    75004
H03:    35232
H04:   106533
H05:    89517
H06:   244519
H07:   131457
H08:   329561
H09:   133606
H10:   291271
H11:    12502
H12:    69444
H13:   148035
H14:   501779
H15:    19107
H16:    70181
H17:    44523
H18:   135082
H19:   142558
H20:   308099
H21:   125770
H22:   423052
H23:   143028
H24:   222195
I01:    53702
I02:   196302
I03:   130410
I04:   271244
I05:   129065
I06:   358159
I07:   117435
I08:   341249
I09:   120487
I10:   404816
I11:   159461
I12:   294647
I13:   135641
I14:   324667
I15:   138506
I16:   292378
I17:   146241
I18:   311216
I19:   150698
I20:   371009
I21:   149830
I22:   384051
I23:   119085
I24:   293923
J01:    18888
J02:    38198
J03:   119517
J04:   291982
J05:   131833
J06:   338693
J07:   125257
J08:   287730
J09:   135369
J10:   289918
J11:   130677
J12:   262181
J13:   138701
J14:   544348
J15:   142488
J16:   294347
J17:   168308
J18:   334797
J19:    90219
J20:   286131
J21:   144472
J22:   429641
J23:   108838
J24:   278517
K01:    42420
K02:   194259
K03:   124078
K04:   415191
K05:   139780
K06:   320607
K07:   134354
K08:   287689
K09:   141692
K10:   302494
K11:   153889
K12:   333949
K13:   119191
K14:   255660
K15:   138224
K16:   290847
K17:   104048
K18:   357476
K19:   157554
K20:   425048
K21:   150399
K22:   339992
K23:   139279
K24:   149564
L01:    11055
L02:    55087
L03:   119506
L04:   304845
L05:   135940
L06:   242960
L07:   129279
L08:   289521
L09:   135179
L10:   272748
L11:   114328
L12:   286500
L13:   120056
L14:   457473
L15:   134348
L16:   266856
L17:   125257
L18:   542406
L19:   115567
L20:   290164
L21:   141836
L22:   330381
L23:   159985
L24:   543828
M01:    96737
M02:   258681
M03:   109035
M04:   249836
M05:   120361
M06:   266623
M07:   128768
M08:   281838
M09:   124050
M10:   291818
M11:    81089
M12:   237533
M13:   116909
M14:   263315
M15:   127527
M16:   247376
M17:    98501
M18:   240718
M19:   138130
M20:   319254
M21:   170416
M22:   292269
M23:   131311
M24:   165338
N01:    46425
N02:    85636
N03:    36088
N04:   139469
N05:    80041
N06:   249850
N07:   112922
N08:   309179
N09:   119656
N10:   451308
N11:     6543
N12:    53959
N13:   115536
N14:   331776
N15:    22048
N16:    85994
N17:    39309
N18:   138891
N19:   144504
N20:   302508
N21:   137381
N22:   404283
N23:   136597
N24:   158112
O01:    62664
O02:   431172
O03:   125947
O04:   256918
O05:   114721
O06:   301059
O07:   125994
O08:   278120
O09:   129323
O10:   256275
O11:   100556
O12:   227814
O13:   127794
O14:   246938
O15:   113439
O16:   284258
O17:    95179
O18:   241949
O19:   141344
O20:   282317
O21:   132650
O22:   245448
O23:   124384
O24:   112328
P01:    15658
P02:    33847
P03:    18222
P04:    68737
P05:    85636
P06:   222469
P07:   110323
P08:   226843
P09:   115311
P10:   209728
P11:     6958
P12:    31369
P13:   136770
P14:   244860
P15:    14224
P16:    47241
P17:    18398
P18:    68335
P19:   133629
P20:   175048
P21:   121976
P22:   152171
P23:    77897
P24:    92303

