Testname: FB_Chlorophyll_384
Date: 2/17/2026  Time: 4:13:48 PM (UTC--6)
ID1: b12_release_uptake_death1  ID2: plate9_hour94  ID3: 
No. of Channels / Multichromatics: 1
No. of Cycles: 1
Configuration: Fluorescence
Used filter settings and gain values:
  1: 400-100/700-100                                       auto
  2: -
  3: -
  4: -
  5: -
Focal height [mm]: 1.3

Chromatic: 1
Cycle: 1
A01:     1641
A02:     3975
A03:     3215
A04:     8858
A05:     8514
A06:    26109
A07:     2631
A08:    18348
A09:    13229
A10:    38952
A11:     2753
A12:    13833
A13:     6483
A14:    24013
A15:     4073
A16:    21202
A17:     5991
A18:    35137
A19:     1613
A20:     9797
A21:     8607
A22:    17675
A23:     1451
A24:     6746
B01:     1331
B02:      740
B03:     2849
B04:    11250
B05:    14333
B06:    77422
B07:     4069
B08:    17645
B09:    14930
B10:    57810
B11:     3095
B12:    15345
B13:     9993
B14:    52725
B15:     8087
B16:    20629
B17:    10728
B18:    39743
B19:     2260
B20:    11779
B21:     7933
B22:    26928
B23:     1895
B24:     8426
C01:     1227
C02:     8151
C03:     3024
C04:    15619
C05:    17955
C06:    83374
C07:     5553
C08:    19215
C09:    14396
C10:    77411
C11:     5308
C12:    21350
C13:    10411
C14:    37558
C15:     8578
C16:    25397
C17:    11434
C18:    50804
C19:     3147
C20:    16104
C21:     9765
C22:    56262
C23:     4813
C24:     8454
D01:     1514
D02:     1357
D03:     1931
D04:    13655
D05:    24395
D06:   119532
D07:     4074
D08:    19660
D09:    19456
D10:    91210
D11:     3385
D12:    13284
D13:    11202
D14:    69535
D15:     5558
D16:    34786
D17:     9376
D18:    90689
D19:     2959
D20:    17140
D21:     7213
D22:    32730
D23:     3010
D24:     9891
E01:     3900
E02:    15048
E03:     4663
E04:    13771
E05:     3529
E06:    15840
E07:     9646
E08:    60958
E09:     7236
E10:    21947
E11:     2139
E12:    10196
E13:     5757
E14:    24803
E15:      775
E16:    10045
E17:      946
E18:     7252
E19:     2903
E20:    22977
E21:     6715
E22:    50134
E23:     2590
E24:    11378
F01:     1274
F02:     5814
F03:      706
