Testname: FB_Chlorophyll_384
Date: 2/17/2026  Time: 4:26:33 PM (UTC--6)
ID1: b12_release_uptake_death1  ID2: plate14_hour94  ID3: 
No. of Channels / Multichromatics: 1
No. of Cycles: 1
Configuration: Fluorescence
Used filter settings and gain values:
  1: 400-100/700-100                                       auto
  2: -
  3: -
  4: -
  5: -
Focal height [mm]: 1.3

Chromatic: 1
Cycle: 1
A01:     2302
A02:     6955
A03:   144899
A04:   235360
A05:   152405
A06:   320170
A07:   204632
A08:   554272
A09:   142029
A10:   315207
A11:   116130
A12:   631755
A13:   121500
A14:   518661
A15:   142497
A16:   273650
A17:   136546
A18:   478197
A19:     3734
A20:    15782
A21:   177174
A22:   457815
A23:   119199
A24:   118603
B01:     1357
B02:     7445
B03:    86701
B04:   183412
B05:   234034
B06:   380537
B07:   173305
B08:   339240
B09:   191676
B10:   468273
B11:   104004
B12:   372773
B13:   208049
B14:   544293
B15:   170052
B16:   387796
B17:   178867
B18:   391487
B19:     7030
B20:    23567
B21:   225121
B22:   484800
B23:   171162
B24:   176540
C01:     9515
C02:    11831
C03:    13474
C04:    57631
C05:   204141
C06:   551538
C07:   151919
C08:   341687
C09:   201602
C10:   590389
C11:   114075
C12:   282659
C13:   229892
C14:   543555
C15:   152501
C16:   415082
C17:   235606
C18:   529269
C19:     7707
C20:    45421
C21:   198298
C22:   327360
C23:   149198
C24:   216354
D01:     2795
D02:    12048
D03:     5478
D04:    29616
D05:   303738
D06:   460549
D07:    95106
D08:   240308
D09:   242578
D10:   385267
D11:    20981
D12:   101836
D13:   179296
D14:   510869
D15:   112477
D16:   316807
D17:   203316
D18:   399894
D19:     9019
D20:    27123
D21:   181861
D22:   343641
D23:   141573
D24:   165666
E01:     8047
E02:    14816
E03:    18575
E04:    83096
E05:   144173
E06:   228702
E07:   213061
E08:   472360
E09:   211913
E10:   483501
E11:     7350
E12:    28940
E13:   209242
E14:   349930
E15:     3193
E16:     9507
E17:    10375
E18:    46810
E19:   172088
E20:   385472
E21:   159217
E22:   371351
E23:   175662
E24:   388056
F01:     4493
F02:    12600
F03:    12556
F04:    56745
F05:   139176
F06:   267621
F07:   214458
F08:   328427
F09:   208060
F10:   364653
F11:     2739
F12:    14653
F13:   193957
F14:   335275
F15:     4193
F16:    12327
F17:     5894
F18:    21373
F19:   198205
F20:   365883
F21:   157993
F22:   559139
