Testname: FB_Chlorophyll_384
Date: 2/16/2026  Time: 5:47:26 PM (UTC--6)
ID1: b12_release_uptake_death1  ID2: plate18_hour72  ID3: 
No. of Channels / Multichromatics: 1
No. of Cycles: 1
Configuration: Fluorescence
Used filter settings and gain values:
  1: 400-100/700-100                                       auto
  2: -
  3: -
  4: -
  5: -
Focal height [mm]: 1.3

Chromatic: 1
Cycle: 1
A01:   340935
A02:   369451
A03:   824642
A04:   441343
A05:   698643
A06:   367728
A07:   398213
A08:   462914
A09:   135343
A10:   252611
A11:    40860
A12:   203301
A13:    16502
A14:    63741
A15:     7709
A16:    15845
A17:     3011
A18:     6628
A19:     1381
A20:     4778
A21:     1009
A22:     1984
A23:     1551
A24:      738
B01:   682390
B02:   681405
B03:   604059
B04:   688008
B05:   412047
B06:   569979
B07:   358528
B08:   506467
B09:   174950
B10:   291162
B11:    69697
B12:   174715
B13:    25333
B14:    74566
B15:     8521
B16:    28708
B17:     2707
B18:     8096
B19:     1151
B20:     3230
B21:      879
B22:     1159
B23:     1541
B24:     2685
C01:   683880
C02:   723810
C03:   650702
C04:   620245
C05:   678411
C06:   646054
C07:   318939
C08:   700106
C09:   169968
C10:   309247
C11:    72705
C12:   168893
C13:    30593
C14:    85088
C15:     6069
C16:    30145
C17:     3234
C18:    12714
C19:      995
C20:     3136
C21:     1176
C22:     2287
C23:     1435
C24:     1354
D01:   673203
D02:   659027
D03:   581011
D04:   769277
D05:   598195
D06:   665753
D07:   299254
D08:   707611
D09:   157415
D10:   313731
D11:    74934
D12:   160246
D13:    27615
D14:    75113
D15:     7726
D16:    18025
D17:     4248
D18:    11911
D19:     2731
D20:     2975
D21:     1390
D22:     2332
D23:     1251
D24:      941
E01:   712560
E02:   663115
E03:   647571
E04:   598605
E05:   519071
E06:   675828
E07:   326417
E08:   682745
E09:   155686
E10:   357079
E11:    78063
E12:   175507
E13:    24163
E14:    74029
E15:    10165
E16:    29674
E17:     1941
E18:     5736
E19:     1440
E20:     2156
E21:     1500
E22:     1485
E23:      948
E24:     1183
F01:   606889
F02:   726353
F03:   699286
F04:   759435
F05:   556405
F06:   602897
F07:   323492
F08:   691385
F09:   160258
F10:   263329
F11:    79483
F12:   151299
F13:    25640
F14:    64594
F15:     9580
F16:    18245
F17:     1746
F18:     5999
F19:     2344
F20:     2699
F21:     1088
F22:      612
F23:     1656
F24:      769
G01:   720994
G02:   760597
G03:   670237
G04:   768621
G05:   561080
G06:   753789
G07:   324927
G08:   728226
G09:   163595
G10:   449012
G11:    78129
G12:   166905
G13:    27197
G14:    84245
G15:     8499
G16:    32795
G17:     3619
G18:     6821
G19:      738
G20:     2472
G21:     1715
G22:     1411
G23:     1670
G24:      631
H01:   523282
H02:   544553
H03:   616226
H04:   691972
H05:   544771
H06:   725710
H07:   381645
H08:   710085
H09:   166510
H10:   298366
H11:    71778
H12:   150523
H13:    29162
H14:    71429
H15:     6166
H16:    29070
H17:     3288
H18:     9695
H19:     2144
H20:     1740
H21:     1436
H22:     1359
H23:     1704
H24:      585
I01:   643580
I02:   562638
I03:   711863
I04:   755922
I05:   733708
I06:   737303
I07:   339732
I08:   705424
I09:   162706
I10:   339472
I11:    86262
I12:   172332
I13:    36105
I14:    76496
I15:     8216
I16:    32275
I17:     3713
I18:     9321
I19:     2420
I20:     3842
I21:     2521
I22:     1924
I23:     1386
I24:     1971
J01:   700092
J02:   758833
J03:   703059
J04:   735430
J05:   602637
J06:   752449
J07:   383709
J08:   703004
J09:   158959
J10:   367756
J11:    76228
J12:   148655
J13:    30834
J14:    78009
J15:     6768
J16:    37363
J17:     1664
J18:    12367
J19:     1948
J20:     3662
J21:     2875
J22:     1974
J23:     1801
J24:      739
K01:   714556
K02:   739353
K03:   690141
K04:   594886
K05:   763427
K06:   566275
K07:   661734
K08:   647571
K09:   139778
K10:   418390
K11:    52642
K12:   125605
K13:    23176
K14:    52231
K15:     5513
K16:    22580
K17:     2812
K18:     6454
K19:     1985
K20:     1623
K21:     1124
K22:     2393
K23:     1118
K24:     1008
L01:   679833
L02:   722635
L03:   730768
L04:   659273
L05:   743181
L06:   583458
L07:   349889
L08:   627285
L09:   141056
L10:   358774
L11:    53070
L12:   123853
L13:    15667
L14:    46593
L15:     5413
L16:    15439
L17:     2075
L18:     6653
L19:     2189
L20:     1804
L21:     2021
L22:     2342
L23:     1313
